Código INE:,Localidad:,Fecha:,Festividad:
44192000000,Puebla de Valverde (La),11 de septiembre,
44192000000,Puebla de Valverde (La),12 de septiembre,
44193000000,Puertomingalvo,7 de abril,
44193000000,Puertomingalvo,12 de junio,
44194000000,Ráfales,17 de enero,
44194000000,Ráfales,12 de agosto,
44195000000,Rillo,15 de mayo,
44195000000,Rillo,4 de diciem,
44196000000,Riodeva,10 de agosto,
44196000000,Riodeva,11 de agosto,
44197000000,Rodenas,19 de junio,
44197000000,Rodenas,25 de noviembre,
44200000000,Rubielos de la Cérida,20 de enero,San Fabián y San Sebastián
44200000000,Rubielos de la Célida,23 de septiembre,Virgen de la Merced
44201000000,Rubielos de Mora,17 de julio,Ntra. Sra. Del Carmen
44201000000,Rubielos de Mora,14 de septiembre,Exaltación de la Santa Cruz
44204000000,Saldón,24 de agosto,
44204000000,Saldón,25 de agosto,
44205000000,Samper de Calanda,22 de mayo,Santa Quiteria
44205000000,Samper de Calanda,4 de agosto,Santo Domingo
44206000000,San Agustín,28 de agosto,
44206000000,San Agustín,29 de agosto,
44207000000,San Martín del Río,8 de septiem,
44207000000,San Martín del Río,11 de noviem,
44208000000,Santa Cruz de Nogueras,24 de agosto,San Bartolomé
44208000000,Santa Cruz de Nogueras,29 de septiembre,San Miguel
44209000000,Santa Eulalia del Campo,13 de febrero,
44209000000,Santa Eulalia del Campo,21 de agosto,
44210000000,Sarrión,14 de agosto,
44210000000,Sarrión,18 de septie,
44213000000,Singra,3 de febrero,
44213000000,Singra,16 de agosto,
44215000000,Terriente,30 de junio,
44215000000,Terriente,3 de julio,
44216000000,Teruel,18 de abril,
44216000000,Teruel,10 de julio,
44217000000,Toril y Masegoso,31 de julio,
44217000000,Toril y Masegoso,16 de agosto,
44220000000,Torralba de los Sisones,6 de febrero,
44220000000,Torralba de los Sisones,15 de mayo,
44221000000,Torrecilla de Alcañiz,3 de febrero,San Blas
44221000000,Torrecilla de Alcañiz,29 de septiembre,San Miguel
44222000000,Torrecilla del Rebollar,25 de julio,Santiago Apóstol
44222000000,Torrecilla del Rebollar,19 de agosto,Santa Elena
44223000000,Torre de Arcas,17 de abril,
44223000000,Torre de Arcas,21 de agosto,
44225000000,Torre del Compte,5 de junio,
44225000000,Torre del Compte,31 de agosto,
44227000000,Torre los Negros,28 de febrero,
44227000000,Torre los Negros,15 de mayo,
44228000000,Torremocha de Jiloca,15 de mayo,San Isidro
44228000000,Torremocha de Jiloca,10 de julio,San Cristóbal
44230000000,Torrevelilla,17 de abril,
44230000000,Torrevelilla,21 de agosto,
44231000000,Torrijas,14 de agosto,
44231000000,Torrijas,29 de septie,
44232000000,Torrijo del Campo,21 de agosto,
44232000000,Torrijo del Campo,22 de agosto,
44235000000,Tramacastilla,26 de julio,Santa Ana
44235000000,Tramacastilla,16 de agosto,San Roque
44238000000,Utrillas,7 de septiembre,
44238000000,Utrillas,8 de septiembre,
44239000000,Valacloche,23 de diciem,
44239000000,Valacloche,30 de diciem,
44240000000,Valbona,18 de septie,
44240000000,Valbona,19 de septie,
44241000000,Valdealgorfa,5 de junio ,
44241000000,Valdealgorfa,8 de septiembre,
44244000000,Valdelinares,14 de julio,
44244000000,Valdelinares,14 de agosto,
44245000000,Valdeltormo,17 de enero,San Antón
44245000000,Valdeltormo,16 de agosto,San Roque
44246000000,Valderrobres,17 de enero,
44246000000,Valderrobres,16 de agosto,
44247000000,Valjunquera,28 de septiembre,
44247000000,Valjunquera,29 de septiembre,
44249000000,Vallecillo (El),12 de junio,
44249000000,Vallecillo (El),13 de junio,
44251000000,Villafranca del Campo,15 de mayo,San Isidro
44251000000,Villafranca del Campo,4 de agosto,
44257000000,Villar del Cobo,3 de julio,
44257000000,Villar del Cobo,21 de julio,
44258000000,Villar del Salz,21 de agosto,
44258000000,Villar del Salz,22 de agosto,
44260000000,Villarluengo,24 de agosto,
44260000000,Villarluengo,25 de agosto,
44261000000,Villarquemado,15 de mayo,
44261000000,Villarquemado,11 de septiembre,
44263000000,Villastar,17 de febrero,
44263000000,Villastar,18 de abril,
44264000000,Villel,7 de septiem,
44264000000,Villel,8 de septiem,
44265000000,Vinaceite,15 de mayo,
44265000000,Vinaceite,8 de septiembre,
