Código INE:,Localidad:,Fecha:,Festividad:
50126000000,Illueca,24/01/2017,San Babil
50126000000,Illueca,23/06/2017,San Juan
50128000000,Isuerre,24/08/2017,San Bartolomé
50128000000,Isuerre,26/12/2017,San Esteban
50129000000,Jaraba,16/08/2017,
50129000000,Jaraba,25/09/2017,
50130000000,Jarque,20/01/2017,
50130000000,Jarque,18/09/2017,
50131000000,Jaulín,03/02/2017,
50131000000,Jaulín,02/06/2017,
50132000000,Joyosa (La),08/09/2017,
50132000000,Joyosa (La),02/10/2017,
50133000000,Lagata,06/02/2017,Santa Águeda
50133000000,Lagata,14/09/2017,Exaltación de la Santa Cruz
,Langa del Castillo,,
,Langa del Castillo,,
50135000000,Layana,,
50135000000,Layana,,
50136000000,Lécera,08/05/2017,Ntra.Sra.La Virgen del Olivar
50136000000,Lécera,04/08/2017,Santo Domingo de Guzmán
50138000000,Lechón,20/01/2017,San Fabián y San Sebastián
50138000000,Lechón,10/08/2017,San Lorenzo
50137000000,Leciñena,15/03/2017,Venida de la Virgen de Ntra.Sra.de Magallón
50137000000,Leciñena,08/09/2017,La Virgen de Ntra.Sra.de Magallón
50139000000,Letux,,
50139000000,Letux,,
50140000000,Litago,26/01/2017,
50140000000,Litago,20/04/2017,
50141000000,Lituénigo,03/02/2017,San Blas
50141000000,Lituénigo,29/10/2017,San Miguel
,Lobera de Onsella,,
,Lobera de Onsella,,
50143000000,Longares,10/05/2017,Santa Espina
50143000000,Longares,08/09/2017,Virgen de la Puerta
,Longas,,
,Longas,,
50146000000,Lucena de Jalón,13/06/2017,
50146000000,Lucena de Jalón,02/10/2017,
50147000000,Luceni,29/04/2017,San Pedro Mártir
50147000000,Luceni,28/08/2017,San Agustín
50148000000,Luesia,,
50148000000,Luesia,,
,Luesma,,
,Luesma,,
50150000000,Lumpiaque,04/10/2017,
50150000000,Lumpiaque,05/10/2017,
50151000000,Luna,15/05/2017,
50151000000,Luna,08/09/2017,
50152000000,Maella,17/01/2017,
50152000000,Maella,17/04/2017,
50153000000,Magallón,20/01/2017,
50153000000,Magallón,14/09/2017,
50154000000,Mainar,25/04/2017,
50154000000,Mainar,06/06/2017,
50155000000,Malanquilla,29/04/2017,Cruz de Mayo
50155000000,Malanquilla,16/08/2017,San Roque
50156000000,Maleján,15/05/2017,
50156000000,Maleján,07/12/2017,
50160000000,Mallén,03/02/2017,San Blas
50160000000,Mallén,08/09/2017,Santísimo Cristo de la Columna
50157000000,Malón,23/01/2017,
50157000000,Malón,14/09/2017,
50159000000,Maluenda,17/07/2017,Santas Justa y Rufina
50159000000,Maluenda,13/10/2017,La Pilarica
50161000000,Manchones,26/01/2017,
50161000000,Manchones,17/08/2017,
50162000000,Mara,20/01/2017,San Fabián y San Sebastián
50162000000,Mara,17/08/2017,Día del Sitio
